Study_ID,Year,Title,Venue,Publication_Type,Clinical_Domain,Clinical_Task,Task_Type,Model_Name,Model_Era,Open_or_Closed,Data_Source,Dataset_Name,Study_Design,External_Validation,Code_Available,Weights_Available,Data_Available,DOI_or_URL,Coding_Confidence,Primary_Paradigm,Fusion_Stage,RAG,Agent_or_Tool_Use,Personalization_Level,Retrieval_Type,Agentic_Reasoning,Risk_Mitigation_Evidence,Translational_Evidence_Level
S011,2025,Mistral in radiology: AI-powered classification of normal and abnormal reports,International Journal of Imaging Systems and Technology,Journal,Radiology / report classification,Normal vs abnormal report classification,ZSL/FSL/fine-tuned classification,Mistral,Generative LLM,Open,Private,"123,296 institutional MRI/CT reports",Retrospective institutional evaluation,No,NR,Yes,Private,https://doi.org/10.1002/ima.70251,High,Generative LLMs,F0,No,No,P0,None,No,R0,T1
S012,2024,A comparative study of large language model-based zero-shot inference and task-specific supervised classification of breast cancer pathology reports,JAMIA,Journal,Breast pathology / NLP,Pathology report classification,Zero-shot LLM vs supervised classifier,GPT-4,Generative LLM,Closed,Private,769 UCSF breast pathology reports,Retrospective comparative evaluation,No,NR,No,Private,https://academic.oup.com/jamia/article/31/10/2315/7696538,High,Generative LLMs,F0,No,No,P0,None,No,R0,T1
S013,2025,"Cancer type, stage and prognosis assessment from pathology reports using LLMs",Scientific Reports,Journal,Pathology / oncology,"Cancer type, stage and prognosis assessment",Fine-tuned pathology LLM,Path-Llama3.1-8B / Path-GPT-4o-mini-FT,Generative LLM,Mixed,Private,Pathology report cohorts,Retrospective model-development + external cohort,Yes,NR,Mixed,Private,https://doi.org/10.1038/s41598-025-10709-4,High,Generative LLMs,F0,No,No,P0,None,No,R0,T2
S014,2026,EHR-RAG: Bridging Long-Horizon Structured Electronic Health Records and Large Language Models via Enhanced Retrieval-Augmented Generation,arXiv,Preprint,EHR / Clinical Prediction,Long-horizon EHR prediction,Classification / prediction,EHR-RAG,Reasoning-Agentic,Mixed,Public,EHRSHOT,Benchmark study,No,NR,NR,Restricted,https://arxiv.org/abs/2601.21340,High,Reasoning / agentic systems,F0,Yes,Yes,P4,Patient-specific RAG,Yes,R0,T0
S015,2026,ChatHealthAI: Aligning Electronic Health Record Representations with Large Language Models for Grounded Clinical Reasoning,arXiv,Preprint,EHR / Clinical Prediction,Longitudinal EHR prediction with grounded reasoning,Classification / prediction + reasoning,ChatHealthAI,MLLM,Open,Public,EHRSHOT,Benchmark study,No,NR,NR,Restricted,https://arxiv.org/abs/2606.02802,High,Multimodal LLMs,F2,No,No,P3,None,No,R0,T0
S016,2026,AgentRx: A Benchmark Study of LLM Agents for Multimodal Clinical Prediction Tasks,"Conference on Health, Inference, and Learning (CHIL) 2026",Conference,Critical Care / Multimodal EHR,In-hospital mortality and length-of-stay prediction,Clinical risk prediction,AgentRx,Reasoning-Agentic,Open,Public,MIMIC-IV; MIMIC-CXR; MIMIC-IV-Note,Benchmark study,No,Yes,Yes,Restricted,https://arxiv.org/abs/2605.10286,High,Reasoning / agentic systems,F5,No,Yes,P2,None,Yes,R3,T1
S017,2026,From Conflict to Consensus: Boosting Medical Reasoning via Multi-Round Agentic RAG,arXiv,Preprint,Medical QA,Medical question answering,Question answering / reasoning,MA-RAG,Reasoning-Agentic,Open,Public,7 medical QA benchmarks,Benchmark study,No,Yes,NR,Public,https://arxiv.org/abs/2603.03292,High,Reasoning / agentic systems,F0,Yes,Yes,P0,Multi-round RAG,Yes,R1,T0
S018,2026,MoMA: a mixture-of-multimodal-agents architecture for enhancing clinical prediction modelling,npj Digital Medicine,Journal,Multimodal EHR / Trauma / Substance Use,Trauma severity stratification and unhealthy alcohol use screening,Classification / prediction,MoMA,Reasoning-Agentic,Open,Both,UW Health clinical cohorts; MIMIC-IV/MIMIC-CXR demo,Retrospective clinical study with temporal validation,No,Yes,NR,Mixed,https://doi.org/10.1038/s41746-025-02219-4,High,Reasoning / agentic systems,F5,No,Yes,P2,None,Yes,R0,T2
S019,2026,AgentClinic: a multimodal benchmark for tool-using clinical AI agents,npj Digital Medicine,Journal,General Clinical Diagnosis / Multimodal Agents,Interactive diagnosis with multimodal inputs and tools,Diagnosis / agentic reasoning,AgentClinic,Reasoning-Agentic,Mixed,Both,AgentClinic-MedQA; AgentClinic-MIMIC-IV; AgentClinic-NEJM; multilingual cases,Benchmark + retrospective EHR evaluation + reader study,No,NR,NR,Mixed,https://doi.org/10.1038/s41746-026-02674-7,High,Reasoning / agentic systems,NR,Yes,Yes,P4,Agentic retrieval,Yes,R3,T1
S020,2025,Development and validation of an autonomous artificial intelligence agent for clinical decision-making in oncology,Nature Cancer,Journal,Oncology / Precision Medicine,Multimodal oncology decision support,Diagnosis / treatment decision support / agentic tool use,Autonomous oncology AI agent,Reasoning-Agentic,Mixed,Mixed,20 realistic multimodal oncology cases,Clinical simulation / benchmark study,No,NR,NR,Mixed,https://doi.org/10.1038/s43018-025-00991-6,High,Reasoning / agentic systems,F5,Yes,Yes,P4,Agentic retrieval,Yes,R3,T0
S021,2026,Towards autonomous medical artificial intelligence agents,Nature,Journal,Emergency Medicine / EHR,Autonomous diagnosis and treatment in sandboxed EHR,Diagnosis / treatment planning / workflow agent,MIRA,Reasoning-Agentic,Closed,Public,MIMIC-IV,Retrospective EHR simulation with physician comparison,No,Yes,NR,Restricted,https://doi.org/10.1038/s41586-026-10675-5,High,Reasoning / agentic systems,F5,No,Yes,P4,Agentic retrieval,Yes,R3,T1
S022,2025,Multi-step retrieval and reasoning improves radiology question answering with large language models,npj Digital Medicine,Journal,Radiology / Clinical QA,Radiology question answering,Question answering / diagnostic reasoning,RaR,Reasoning-Agentic,Mixed,Public,104 expert-curated radiology questions + 65 independent board-exam questions,Benchmark study with independent test set,Yes,Yes,NR,Public,https://doi.org/10.1038/s41746-025-02250-5,High,Reasoning / agentic systems,F0,Yes,Yes,P0,Multi-round RAG,Yes,R3,T0
S023,2025,Retrieval augmented generation for 10 large language models and its generalizability in assessing medical fitness,npj Digital Medicine,Journal,Perioperative Medicine,Surgical fitness assessment and preoperative instructions,Clinical decision support / QA,LLM-RAG for medical fitness,Generative LLM,Mixed,Private,14 de-identified clinical scenarios; 35 local and 23 international guidelines,Simulated clinical scenario study with human comparison,No,NR,NR,Private,https://doi.org/10.1038/s41746-025-01519-z,High,Generative LLMs,F0,Yes,No,P4,Patient-specific RAG,No,R3,T0
S024,2025,Fidelity of Medical Reasoning in Large Language Models,JAMA Network Open,Journal,Medical QA / Reasoning,Reasoning fidelity under answer-set perturbation,Question answering / robustness,NOTA reasoning-fidelity evaluation,Generative LLM,Mixed,Public,Clinician-validated MedQA subset,Cross-sectional benchmark study,No,NR,NR,Public,https://doi.org/10.1001/jamanetworkopen.2025.26021,High,Generative LLMs,F0,No,No,P0,None,No,R3,T0
S025,2026,HalluCXR: Benchmarking and Mitigating Hallucinations in Medical Vision-Language Models for Chest Radiograph Interpretation,arXiv,Preprint,Radiology / Safety,Chest radiograph interpretation and hallucination auditing,VQA / image interpretation / safety evaluation,HalluCXR,MLLM,Mixed,Public,MIMIC-CXR-JPG,Benchmark / safety evaluation,No,No,NR,Restricted,https://arxiv.org/abs/2605.20469,High,Multimodal LLMs,NR,No,No,P0,None,No,R3,T0
S026,2025,Open-source hybrid large language model integrated system for extraction of breast cancer treatment pathway from free-text clinical notes,JCO Clinical Cancer Informatics,Journal,Breast oncology / EHR,Longitudinal treatment-pathway extraction,Longitudinal information extraction,Hybrid open-source LLM + UMLS parser,Generative LLM,Open,Private,Time-stamped breast cancer clinical notes + external cohort,Retrospective longitudinal extraction with external validation,Yes,NR,NR,Private,https://doi.org/10.1200/CCI-25-00002,High,Generative LLMs,F0,No,No,P3,Static external context,No,R0,T2
S027,2025,Towards a holistic framework for multimodal LLM in 3D brain CT radiology report generation,Nature Communications,Journal,Neuroradiology / 3D CT,3D CT report generation,3D multimodal report generation,BrainGPT,MLLM,NR,Private,"3D-BrainCT: 18,885 CT-report pairs",Internal + external holdout evaluation,Yes,NR,NR,Private,https://doi.org/10.1038/s41467-025-57426-0,High,Multimodal LLMs,F3,No,No,P0,None,No,R3,T2
S028,2023,R2GenGPT: Radiology report generation with frozen LLMs,"Meta-Radiology, 1(3), 100033",Journal,Radiology / report generation,Chest X-ray report generation,Frozen-LLM multimodal generation,R2GenGPT,MLLM,Open,Public,IU X-Ray; MIMIC-CXR,Public benchmark model-development study,No,Yes,NR,Public,https://arxiv.org/abs/2309.09812,High,Multimodal LLMs,F2,No,No,P0,None,No,R0,T0
S029,2023,LLaVA-Med: Training a large language-and-vision assistant for biomedicine in one day,NeurIPS 2023,Conference,Biomedical multimodal QA,Medical VQA / instruction following,Medical MLLM,LLaVA-Med,MLLM,Open,Public,PMC-15M; VQA-RAD; SLAKE; PathVQA,Public benchmark instruction-tuning study,No,Yes,Yes,Public,https://arxiv.org/abs/2306.00890,High,Multimodal LLMs,F2,No,No,P0,None,No,R0,T0
S030,2024,MAIRA-2: Grounded radiology report generation,arXiv,Preprint,Radiology / grounded report generation,Region-grounded CXR report generation,Grounded MLLM report generation,MAIRA-2,MLLM,Open,Public,MIMIC-CXR with grounded annotations,Public benchmark method study,No,Yes,NR,Public,https://arxiv.org/abs/2406.04449,High,Multimodal LLMs,F2,No,No,P0,None,No,R3,T0
S031,2025,MediVLM: A vision language model for radiology report generation from medical images,Findings of EMNLP 2025,Conference,Radiology / report generation,Annotation-free report generation,Vision-language report generation,MediVLM,MLLM,NR,Public,Three radiology benchmarks,Public benchmark study,No,NR,NR,Public,https://doi.org/10.18653/v1/2025.findings-emnlp.544,High,Multimodal LLMs,F3,No,No,P0,None,No,R0,T0
S032,2024,Development of a large-scale medical visual question-answering dataset,Communications Medicine,Journal,Medical VQA,Open-ended medical visual QA,Dataset + generative MLLM benchmark,PMC-VQA / PMC-LLaMA,MLLM,Open,Public,PMC-VQA: 227K QA pairs; 149K images,Dataset + benchmark evaluation,No,Yes,NR,Public,https://doi.org/10.1038/s43856-024-00709-2,High,Multimodal LLMs,F2,No,No,P0,None,No,R0,T0
S033,2024,OmniMedVQA: A new large-scale comprehensive evaluation benchmark for medical LVLM,CVPR 2024,Conference,Medical VQA / evaluation,Cross-modality LVLM evaluation,Benchmark / comparative MLLM evaluation,Multiple LVLMs,MLLM,Mixed,Public,OmniMedVQA: 12 modalities; 20+ anatomical regions,Large-scale multi-model benchmark evaluation,No,Yes,Mixed,Public,https://doi.org/10.1109/CVPR52733.2024.02093,High,Multimodal LLMs,NR,No,No,P0,None,No,R3,T0
S034,2025,Structure causal models and LLMs integration in medical visual question answering,IEEE Transactions on Medical Imaging,Journal,Medical VQA / causal reasoning,VQA with structural/causal feature integration,Causal multimodal fusion,CIF,MLLM,NR,Public,VQA-RAD; SLAKE; PathVQA; PMC-VQA; ProbMed,Five-benchmark multimodal evaluation,No,NR,NR,Public,https://arxiv.org/abs/2505.02703,High,Multimodal LLMs,F3,No,No,P2,None,No,R0,T0
S035,2025,MiniMedGPT: efficient large vision–language model for medical visual question answering,Pattern Recognition Letters,Journal,Medical VQA / efficient MLLM,Efficient Med-VQA,Parameter-efficient MLLM,MiniMedGPT,MLLM,NR,Public,VQA-RAD; SLAKE,Resource-efficient benchmark evaluation,No,NR,NR,Public,https://doi.org/10.1016/j.patrec.2025.01.001,High,Multimodal LLMs,F2,No,No,P0,None,No,R0,T0
S036,2025,Fine-grained adaptive visual prompt for generative medical visual question answering,AAAI 2025,Conference,Medical VQA / adaptive prompting,Generative Med-VQA,Adaptive visual prompting,FAVP,MLLM,Open,Public,VQA-RAD; SLAKE; DME task,Public benchmark model study,No,Yes,NR,Public,https://doi.org/10.1609/aaai.v39i9.33047,High,Multimodal LLMs,F3,No,No,P0,None,No,R0,T0
S037,2025,Falcon medical visual question answering,AAAI 2025,Conference,Medical VQA / uncertainty,Medical VQA with confidence outputs,MLLM / uncertainty output,Falcon Med-VQA,MLLM,NR,Public,PMC-VQA v2; SLAKE,Public benchmark evaluation,No,NR,NR,Public,https://doi.org/10.1609/aaai.v39i28.35346,High,Multimodal LLMs,F3,No,No,P0,None,No,R3,T0
S038,2025,Towards Medical Complex Reasoning with LLMs through Medical Verifiable Problems,Findings of the Association for Computational Linguistics: ACL 2025,Conference,Multi-domain,Complex medical reasoning and question answering,Medical reasoning benchmark / reasoning optimization,HuatuoGPT-o1,Reasoning LLM,Open,Public,Medical Verifiable Problems + medical QA benchmarks,Model-development and benchmark evaluation,No,Yes,Yes,Public,https://doi.org/10.18653/v1/2025.findings-acl.751,High,Reasoning / agentic systems,F0,No,No,P0,None,No,R3,T0
S039,2024,GeneGPT: augmenting large language models with domain tools for improved access to biomedical information,Bioinformatics,Journal,Other,Biomedical genomics question answering via external database tools,Tool-augmented biomedical QA,GeneGPT,Tool-augmented LLM,Mixed,Public,GeneTuring (8 tasks) + GeneHop,Tool-augmented benchmark evaluation,No,Yes,No,Public,https://doi.org/10.1093/bioinformatics/btae075,Moderate,Reasoning / agentic systems,F0,No,Yes,P0,Other,No,R3,T0
S040,2022,Large language models are few-shot clinical information extractors,Proceedings of the 2022 Conference on Empirical Methods in Natural Language P...,Conference,EHR / clinical NLP,Few-shot clinical information extraction,Information extraction / few-shot evaluation,InstructGPT / GPT-3,Generative LLM,Closed,Public,CASI and clinical information-extraction benchmarks,Benchmark evaluation,No,Yes,No,Public,https://doi.org/10.18653/v1/2022.emnlp-main.130,High,Generative LLMs,F0,No,No,P0,None,No,R0,T0
S041,2024,Evaluating GPT-4V on detection of radiologic findings on chest radiographs,Radiology,Journal,Chest radiology / multimodal diagnosis,CXR finding detection,General MLLM evaluation,GPT-4V,MLLM,Closed,Public,100 CXR: 50 NIH + 50 MIDRC,Zero-/few-shot clinical image evaluation,No,No,No,Public,https://doi.org/10.1148/radiol.233270,High,Multimodal LLMs,F3,No,No,P0,None,No,R3,T0
S042,2025,Multimodal large language models address clinical queries in laryngeal cancer surgery: a comparative evaluation of image interpretation across different models,International Journal of Surgery,Journal,Laryngeal cancer surgery,Image-grounded clinical queries,Comparative MLLM evaluation,Claude 3.5 Sonnet + 5 MLLMs,MLLM,Mixed,Private,"169 images; 1,084 questions; 50 patients; 4 modalities",Retrospective comparative evaluation + 2-physician assessment,No,No,Mixed,Private,https://doi.org/10.1097/JS9.0000000000002234,High,Multimodal LLMs,F3,No,No,P0,None,No,R3,T1
S043,2024,In-context learning enables multimodal large language models to classify cancer pathology images,Nature Communications,Journal,Cancer pathology,Pathology image classification with ICL,General MLLM / ICL,GPT-4V,MLLM,Closed,Public,CRC100K; MHIST; PatchCamelyon,Public benchmark ICL study,No,No,No,Public,https://doi.org/10.1038/s41467-024-51465-9,High,Multimodal LLMs,F3,No,No,P0,Static external context,No,R0,T0
S044,2025,A multimodal multidomain multilingual medical foundation model for zero shot clinical diagnosis,npj Digital Medicine,Journal,Radiology / multilingual diagnosis,Zero-shot diagnosis across CXR/CT,Multidomain multilingual MLLM,M3FM,MLLM,NR,Public,9 datasets; CXR + CT; 16 diseases; English + Chinese,Multi-dataset zero-shot evaluation,Yes,NR,NR,Public,https://doi.org/10.1038/s41746-024-01339-7,High,Multimodal LLMs,F3,No,No,P0,None,No,R3,T2
S045,2024,A multimodal generative AI copilot for human pathology,Nature,Journal,Pathology,Interactive pathology diagnosis and QA,Pathology MLLM / copilot,PathChat,MLLM,NR,Both,Multi-tissue pathology cases; 456K instruction turns,Benchmark + blinded pathologist reader study,No,NR,NR,Mixed,https://doi.org/10.1038/s41586-024-07618-3,Very High,Multimodal LLMs,F2,No,No,P2,None,No,R4,T1
S046,2024,Towards generalist biomedical AI,NEJM AI,Journal,Generalist biomedical AI,Unified text/imaging/genomics tasks,Generalist multimodal foundation model,Med-PaLM M,MLLM,Closed,Both,MultiMedBench: 14 tasks across 6 modality groups,Multi-task benchmark + blinded clinician evaluation,Yes,No,No,Mixed,https://doi.org/10.1056/AIoa2300138,Very High,Multimodal LLMs,F3,No,No,P0,None,No,R3,T2
S047,2024,LLM-driven multimodal target volume contouring in radiation oncology,Nature Communications,Journal,Radiation oncology,Patient-specific target-volume contouring,Multimodal segmentation / text-image fusion,LLMSeg,MLLM,NR,Private,Three-institution breast radiotherapy cohorts + external scanners,Retrospective multi-institution external validation,Yes,NR,NR,Private,https://doi.org/10.1038/s41467-024-53387-y,Very High,Multimodal LLMs,F3,No,No,P2,None,No,R4,T2
S048,2026,ClinFusion: A Vision-Centric Multimodal LLM System for Holistic Medical Understanding,arXiv,Preprint,General Medical Imaging / 2D & 3D,"VQA, report generation, instruction following, tool-assisted workflows",VQA / report generation / multimodal reasoning,ClinFusion,MLLM,Open,Public,20+ 2D/3D medical benchmarks; MedIF-Bench; radiologist reader study,Multi-benchmark technical evaluation + blinded radiologist study,Yes,Yes,Yes,Public,https://arxiv.org/abs/2607.24743,High,Multimodal LLMs,F5,Yes,Yes,P2,RAG,Yes,R3,T2
S049,2026,Autoregressive EHR Foundation Models with Multimodal Inputs,arXiv / ICML 2026 Workshop on Structured Data for Health,Preprint,Longitudinal EHR / Multimodal Clinical Data,"Zero-shot ICU mortality prediction from structured EHR conditioned on ECG, CXR, and notes",Clinical prediction / longitudinal modeling,Multimodal autoregressive EHR foundation model,MLLM,Open,Public,MIMIC-IV v3.1; MIMIC-IV-ED; MIMIC-IV-ECG; MIMIC-CXR-JPG; MIMIC-IV-Note,Controlled multimodal ablation study,No,NR,NR,Restricted,https://arxiv.org/abs/2607.22264,High,Multimodal LLMs,F3,No,No,P3,None,NR,R0,T1
S050,2025,Multimodal LLM With Hierarchical Mixture-of-Experts for VQA on 3D Brain MRI,arXiv,Preprint,Neuroradiology / Multiparametric MRI,3D brain mpMRI visual question answering,VQA / tumor characterization,mpLLM,MLLM,Open,Both,GLI; MET; GoAT brain tumor mpMRI datasets,Multi-dataset technical study with radiologist-informed synthetic VQA protocol,Yes,NR,NR,Mixed,https://arxiv.org/abs/2509.25889,High,Multimodal LLMs,F3,No,No,P2,None,NR,R0,T2
S051,2026,Adapting 2D Multi-Modal Large Language Model for 3D CT Image Analysis,arXiv,Preprint,3D CT / General Medical Imaging,3D report generation and medical VQA,Report generation / open & closed VQA,2D-to-3D Phi-3-V with TGH-MoE,MLLM,Open,Public,M3D-Data,Benchmark study with component and training ablations,No,NR,NR,Public,https://arxiv.org/abs/2604.10233,High,Multimodal LLMs,F5,No,No,P0,None,NR,R3,T0
S052,2024,Towards a Multimodal Large Language Model with Pixel-Level Insight for Biomedicine,arXiv (revised 2025),Preprint,General Biomedical Imaging,"VQA, visual prompting, pixel-level grounding",VQA / region grounding / segmentation,MedPLIB,MLLM,Open,Public,MeCoVQA + SLAKE + PathVQA + PMC-VQA + ImageCLEF + VQA-RAD,Multi-benchmark technical study,No,Yes,NR,Public,https://arxiv.org/abs/2412.09278,High,Multimodal LLMs,F5,No,No,P0,None,NR,R0,T0
S053,2024,Med-2E3: A 2D-Enhanced 3D Medical Multimodal Large Language Model,arXiv (revised 2025),Preprint,3D CT,3D report generation and VQA,Report generation / VQA,Med-2E3,MLLM,Open,Public,CT-RATE; M3D-Data,Two-dataset benchmark and ablation study,No,Yes,NR,Public,https://arxiv.org/abs/2411.12783,High,Multimodal LLMs,F3,No,No,P0,None,NR,R0,T0
S054,2025,Region-Aware Multimodal Large Language Model via SlowFast Tokenization and Pseudo-Mask Guidance for 3D CT Report Generation,arXiv (revised 2026),Preprint,Radiology / 3D CT,Structured 3D CT report generation,Report generation / region-aware reasoning,MedRegion-CT,MLLM,Open,Both,RadGenome-Chest CT; external Asan Medical Center (AMC) dataset,Internal benchmark + external zero-shot institutional validation + reader study,Yes,NR,NR,Mixed,https://arxiv.org/abs/2506.23102,High,Multimodal LLMs,F5,No,No,P0,None,NR,R3,T2
S055,2026,MedVL-SAM2: A unified 3D medical vision-language model for multimodal reasoning and prompt-driven segmentation,arXiv,Preprint,3D CT / Segmentation,"Report generation, VQA, semantic/referring/interactive segmentation",Report generation / VQA / segmentation,MedVL-SAM2,MLLM,Open,Public,CT-RATE; M3D-Seg,Multi-task benchmark study with ablation,No,NR,NR,Public,https://arxiv.org/abs/2601.09879,High,Multimodal LLMs,F5,No,No,P0,None,NR,R0,T0
S056,2026,MLLM-HWSI: A Multimodal Large Language Model for Hierarchical Whole Slide Image Understanding,arXiv,Preprint,Computational Pathology / WSI,"WSI classification, report generation, and VQA",Classification / report generation / VQA,MLLM-HWSI,MLLM,Open,Public,"13 WSI benchmarks; 9,642 WSI-report pairs; WSI-Bench",Multi-benchmark technical study with hierarchical ablation,No,NR,NR,Mixed,https://arxiv.org/abs/2603.23067,High,Multimodal LLMs,F5,No,No,P0,None,NR,R0,T0
S057,2025,Citrus-V: Advancing Medical Foundation Models with Unified Medical Image Grounding for Clinical Reasoning,arXiv,Preprint,General Medical Imaging,"Medical QA, report generation, document understanding, detection, segmentation, grounded reasoning",VQA / report generation / detection / segmentation / reasoning,Citrus-V,MLLM,Open,Public,Large mixed medical multimodal corpus; MeCoVQA-G+; MedSegBench; MedSAM2 + QA/report benchmarks,Large-scale multi-task benchmark study,No,NR,NR,Mixed,https://arxiv.org/abs/2509.19090,High,Multimodal LLMs,F5,No,No,P0,None,NR,R0,T0
S058,2026,UniReason-Med: A Shared Grounded Reasoning Interface for 2D-to-3D Transfer in Medical VQA,arXiv,Preprint,General Medical Imaging / 2D & 3D,Grounded medical VQA across 2D images and slice-serialized 3D volumes,VQA / grounded reasoning,UniReason-Med,Reasoning-Agentic,Open,Public,UniMed-CoT (220K); OmniMedVQA + 3D VQA benchmarks,Benchmark + data-mixture/component ablation study,No,Yes,NR,Public,https://arxiv.org/abs/2606.11740,High,Reasoning / agentic systems,F3,No,No,P0,None,No,R3,T0
S059,2025,V2T-CoT: From Vision to Text Chain-of-Thought for Medical Reasoning and Diagnosis,arXiv,Preprint,Medical VQA / Radiology & Pathology,Disease-region localization plus diagnostic reasoning,VQA / visual grounding / chain-of-thought reasoning,V2T-CoT,MLLM,Open,Public,VQA-RAD; SLAKE; VQA-2019; PathVQA; R-Med 39K,Four-benchmark study with ablation and rationale evaluation,No,Yes,NR,Public,https://arxiv.org/abs/2506.19610,High,Multimodal LLMs,F3,No,No,P0,None,NR,R3,T0
S060,2025,PolyPath: Adapting a large multimodal model for multi-slide pathology report generation,Modern Pathology,Journal,Pathology / WSI,Multi-slide case-level report generation,Long-context multimodal generation,PolyPath / Gemini 1.5 Flash,MLLM,Closed,Private,"Multi-slide cases; up to 40,000 patches per case",Internal pathologist-assessed evaluation,No,NR,No,Private,https://arxiv.org/abs/2502.10536,High,Multimodal LLMs,F3,No,No,P1,None,No,R2,T1
S061,2024,Pre-trained multimodal large language model enhances dermatological diagnosis using SkinGPT-4,Nature Communications,Journal,Dermatology,Diagnosis + treatment recommendation from image/context,Patient-context MLLM,SkinGPT-4,MLLM,NR,Both,"52,929 images + clinical notes; 150 real-life cases",Retrospective model study + dermatologist validation,No,NR,NR,Mixed,https://doi.org/10.1038/s41467-024-50043-3,High,Multimodal LLMs,F2,No,No,P2,None,No,R4,T1
