Study_ID,Demographics,Patient_History,Current_Clinical_Context,Imaging,Reports,Labs,Medications,Comorbidities,Prior_Imaging,Prior_Visits,Patient_Preferences,Longitudinal_Modeling,Patient_Context_Used,Multimodal_Patient_Context,Patient_Conditioned_Retrieval,Individualized_Recommendation,Personalization_Ablation,Personalization_Level,Retrieval_Type,Knowledge_Source,Tool_Use,Agentic_Reasoning,Hallucination_Assessed,Hallucination_Mitigation,Risk_Mitigation_Evidence,Translational_Evidence_Level,Unnamed_28,Unnamed_29
S058,NR,NR,NR,Yes,NR,NR,NR,NR,NR,NR,NR,NR,No,No,NR,NR,NR,P0,None,2D/3D medical images with self-generated grounded regions,No,No,No,NR,R3,T0,,
S059,NR,NR,NR,Yes,NR,NR,NR,NR,NR,NR,NR,NR,No,No,NR,NR,NR,P0,None,Medical image + region proposals + question,NR,NR,Yes,Vision-grounded CoT + supervised textual rationale pathway,R3,T0,,
S060,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,P1,None,Multiple WSIs from the same pathology case,No,No,NR,NR,R2,T1,,
S061,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,P2,None,Patient image + clinical concepts/notes,No,No,NR,NR,R4,T1,,
S062,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,P2,None,CXR + ECG + laboratory data,No,No,NR,NR,R3,T0,,
S063,Yes,Yes,Yes,NR,Yes,NR,NR,NR,NR,Yes,NR,Yes,Yes,No,Yes,Yes,Yes,P4,Patient-specific RAG,Patient's own prior SOAP notes + similar patients' records,Yes,No,No,NR,R0,T1,,
S064,Yes,Yes,Yes,NR,NR,Yes,Yes,Yes,NR,Yes,NR,Yes,Yes,No,Yes,No,Yes,P4,Patient-specific RAG,Current visit query over the same patient's longitudinal EHR chunks,NR,NR,No,NR,R0,T1,,
S065,Yes,Yes,Yes,NR,NR,Yes,Yes,Yes,NR,Yes,NR,Yes,Yes,No,No,No,Yes,P4,None,Persistent patient-state memory + static clinical protocol,No,Yes,No,NR,R3,T2,,
S066,Yes,Yes,Yes,NR,Yes,Yes,NR,Yes,NR,Yes,NR,Yes,Yes,Yes,No,No,Yes,P4,None,Five-year structured and unstructured EHR trajectory stored in shared EHRMem,NR,Yes,No,NR,R3,T1,,
S067,Yes,Yes,Yes,NR,Yes,NR,NR,NR,NR,Yes,NR,Yes,Yes,No,No,No,Yes,P4,None,Chronological patient profile extracted from longitudinal clinical notes,NR,Yes,No,NR,R0,T1,,
S068,NR,Yes,Yes,NR,NR,NR,NR,NR,NR,Yes,NR,Yes,Yes,No,No,No,Yes,P3,None,Timestamped longitudinal clinical records,NR,NR,No,NR,R3,T1,,
S069,Yes,Yes,Yes,NR,NR,Yes,Yes,Yes,NR,Yes,NR,Yes,Yes,No,Yes,Yes,Yes,P4,Patient-specific RAG,Similar EMRs and clinical guidance retrieved using the current patient's EMR context,Yes,NR,Yes,Patient-grounded retrieval plus ORPO preference alignment,R3,T1,,
S070,Yes,Yes,Yes,NR,Yes,Yes,Yes,Yes,NR,Yes,NR,Yes,Yes,Yes,No,No,Yes,P3,None,Structured EHR timeline + unstructured clinical text,NR,NR,No,NR,R0,T1,,
S071,Yes,Yes,Yes,NR,NR,Yes,Yes,Yes,NR,Yes,NR,Yes,Yes,Yes,No,Yes,Yes,P4,None,Patient profile + long-horizon ordered clinical event trajectory,NR,NR,No,NR,R3,T1,,
S072,Yes,Yes,Yes,NR,NR,Yes,Yes,Yes,NR,Yes,NR,Yes,Yes,No,No,No,NR,P3,None,Longitudinal patient trajectories across three clinical cohorts,NR,NR,No,NR,R0,T2,,
S073,NR,Yes,Yes,Yes,Yes,NR,NR,NR,Yes,NR,NR,Yes,Yes,Yes,No,No,Yes,P3,None,Current/prior chest X-rays + prior report,NR,NR,No,Historical consistency constraints,R2,T0,,
S074,Yes,Yes,Yes,Yes,Yes,NR,NR,NR,Yes,NR,NR,Yes,Yes,Yes,No,No,Yes,P3,None,Current images + prior studies + clinical context,NR,NR,NR,NR,R3,T2,,
S075,NR,Yes,Yes,Yes,Yes,NR,NR,NR,Yes,NR,NR,Yes,Yes,Yes,No,No,Yes,P3,None,Current CT + prior CT + prior report,NR,NR,No,NR,R0,T0,,
S076,Yes,Yes,Yes,NR,NR,Yes,Yes,Yes,NR,NR,NR,NR,Yes,No,Yes,Yes,No,P4,Patient-specific RAG,Real-time HL7 FHIR patient context + disease-specific clinical guidelines,Yes,NR,Yes,Guideline-grounded RAG,R3,T0,,
S077,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,RAG,Retrieved task-relevant biomedical evidence,No,No,NR,Retrieval constrains/augments generation,R3,T0,,
S078,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,None,NR,No,No,No,NR,R3,T0,,
S079,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,None,Current chest X-ray,No,No,Yes,NR,R5,T3,,
S080,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,RAG,Historically similar pathology cases,No,No,NR,Similar-case retrieval + LLM refinement,R3,T2,,
S081,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,Static external context,16K-term medical dictionary + retrieved candidate exemplars,No,No,NR,NR,R3,T0,,
S082,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,No,No,NR,NR,NR,P0,Graph-RAG,User documents + authoritative medical sources + controlled vocabularies,Yes,Yes,Yes,Graph-grounded retrieval and response refinement,R3,T0,,
S083,NR,Yes,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,Yes,No,Yes,Yes,Yes,P4,Multi-round RAG,Disease knowledge retrieved iteratively from patient-specific diagnostic state,Yes,Yes,No,NR,R3,T0,,
S084,Yes,Yes,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,Yes,No,Yes,Yes,NR,P4,Patient-specific RAG,Authoritative radiology contrast-media references,Yes,NR,Yes,Authoritative-reference RAG,R3,T0,,
S085,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,No,No,NR,NR,NR,P0,RAG,Long retrieved biomedical contexts,NR,NR,Yes,Preflight evidence check + map-reduce context aggregation,R3,T0,,
S086,Yes,Yes,Yes,NR,Yes,Yes,NR,Yes,NR,Yes,NR,Yes,Yes,Yes,Yes,Yes,Yes,P4,Agentic retrieval,"Phenotype/genetic databases, web-scale medical knowledge, specialist tools",Yes,Yes,Yes,Traceable evidence retrieval + self-reflection + specialist-agent cross-checking,R4,T2,,
S087,Yes,Yes,Yes,NR,Yes,Yes,Yes,Yes,NR,NR,NR,NR,Yes,No,Yes,Yes,Yes,P4,Patient-specific RAG,WHO/NICE guideline GraphRAG + similar MIMIC-IV/Synthea patient cases,Yes,Yes,Yes,Guideline GraphRAG + similar-patient evidence,R3,T1,,
S088,NR,NR,NR,Yes,NR,NR,NR,NR,NR,NR,NR,NR,No,No,NR,NR,NR,P0,Multimodal RAG,~350K PMC page images with patch-level retrieval,Yes,Yes,No,NR,R3,T0,,
S089,NR,Yes,Yes,NR,Yes,NR,NR,NR,NR,Yes,NR,Yes,Yes,NR,NR,NR,NR,P3,None,EHR longitudinal unstructured notes,NR,NR,NR,NR,R4,T4,,
S090,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,No,No,NR,NR,NR,P0,Multi-round RAG,Medical evidence retrieved until sufficiency criterion is met,Yes,Yes,No,NR,R3,T0,,
S091,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,No,No,NR,NR,NR,P0,Graph-RAG,Automatically constructed and updated medical knowledge graph + external evidence,Yes,Yes,No,NR,R3,T0,,
S092,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,No,No,NR,NR,NR,P0,RAG,Retrieved passages + DRKG medical knowledge graph for verification,NR,NR,Yes,"Atomic-claim verification using NLI, KG consistency and calibrated signal fusion",R3,T0,,
S093,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,No,No,NR,NR,NR,P0,RAG,Task-specific retrieved medical passages/guidelines,NR,NR,Yes,NR,R3,T0,,
S094,Yes,Yes,Yes,NR,Yes,NR,NR,NR,NR,Yes,NR,NR,Yes,No,Yes,Yes,Yes,P4,Graph-RAG,Medical KG concepts and diagnostic reasoning paths retrieved from patient conversation/EHR entities,Yes,Yes,No,NR,R3,T0,,
S095,Yes,Yes,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,Yes,No,No,Yes,Yes,P4,None,Interactive patient responses elicited by clarification questions,NR,Yes,NR,NR,R3,T0,,
S096,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,No,NR,NR,NR,NR,P0,None,Standardized clinical vignettes,NR,NR,NR,NR,R3,T3,,
S097,Yes,Yes,Yes,NR,Yes,Yes,Yes,Yes,NR,Yes,NR,Yes,Yes,No,Yes,Yes,NR,P4,Patient-specific RAG,Patient-specific Neo4j graph + vectorized unstructured EHR narratives,Yes,Yes,Yes,Structured graph traversal + narrative vector retrieval + source grounding,R4,T1,,
S098,Yes,Yes,Yes,NR,NR,Yes,Yes,Yes,NR,NR,NR,NR,Yes,NR,NR,Yes,NR,P4,None,Encounter-specific primary-care EMR data,NR,NR,Yes,Clinician review in live workflow; safety audit identifies adoption of harmful recommendations,R4,T4,,
S099,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,No,No,NR,NR,NR,P0,RAG,Retrieved passages for patient/USMLE-style questions,NR,NR,Yes,Evidence filtering and query reformulation evaluated as interventions,R4,T0,,
S100,NR,NR,NR,Yes,NR,NR,NR,NR,NR,NR,NR,NR,No,No,NR,NR,NR,P0,Multimodal RAG,"Retrieved medical image-text evidence across radiology, ophthalmology, and pathology",NR,NR,Yes,Domain-aware retrieval + adaptive context selection + RAG preference tuning,R3,T0,,
S101,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,P1,Static external context,Dialogue + Wikipedia/offline medical knowledge,No,No,NR,NR,R2,T0,,
S102,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,P1,None,Patient oncology report / registry data,No,No,NR,NR,R3,T1,,
S103,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,None,Segmentation output + clinical-quality prompts,No,No,NR,NR,R3,T0,,
S104,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Yes,Yes,NR,NR,NR,NR,P3,None,Consultation transcripts/EHR-derived note content,NR,NR,Yes,Prompt and workflow refinement using CREOLA error taxonomy,R4,T1,,
S105,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,No,No,NR,NR,NR,P0,None,Medical MCQA items with underspecification/perturbation,No,No,No,NR,R3,T0,,
S106,NR,NR,NR,Yes,NR,NR,NR,NR,NR,NR,NR,NR,No,NR,NR,NR,NR,P0,None,Medical VQA image-question pairs,NR,NR,Yes,Seven mitigation strategies benchmarked by underlying cause,R3,T0,,
S107,NR,NR,NR,Yes,NR,NR,NR,NR,NR,NR,NR,NR,No,NR,NR,NR,NR,P0,None,Large hallucination/non-hallucination medical image instruction corpus,NR,NR,Yes,Hallucination-aware instruction tuning,R3,T0,,
S108,NR,NR,NR,Yes,NR,NR,NR,NR,NR,NR,NR,NR,No,NR,NR,NR,NR,P0,None,Visual evidence from medical images,NR,NR,Yes,Sparse visual-contrastive decoding with visually informed token selection,R3,T0,,
S109,NR,NR,NR,Yes,NR,NR,NR,NR,NR,NR,NR,NR,No,NR,NR,NR,NR,P0,None,Medical VQA image-question evidence,NR,NR,No,NR,R3,T0,,
S110,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Yes,Yes,NR,NR,NR,NR,P3,None,Clinical source documents and generated summaries,NR,NR,Yes,Conformal support/importance/non-coverage safety layer,R4,T1,,
S111,Yes,Yes,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,Yes,NR,NR,NR,NR,P1,None,Clinician-validated gastroenterology vignettes,NR,NR,No,NR,R3,T0,,
S112,Yes,Yes,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,Yes,NR,NR,NR,NR,P1,None,Psychiatric clinical vignettes,NR,NR,NR,NR,R2,T0,,
S113,Yes,Yes,Yes,NR,NR,Yes,NR,Yes,NR,NR,NR,NR,Yes,NR,Yes,No,Yes,P4,Patient-specific RAG,Similar historical misprediction cases and correct outcomes,NR,NR,NR,NR,R3,T1,,
S114,Yes,NR,NR,Yes,Yes,NR,NR,NR,NR,NR,NR,NR,No,No,NR,NR,NR,P0,None,Medical VQA and report-generation benchmarks,NR,NR,NR,NR,R3,T0,,
S115,Yes,NR,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,Yes,NR,NR,NR,NR,P1,None,Standardized patient–LLM dialogues,NR,NR,No,NR,R3,T0,,
S116,NR,NR,Yes,Yes,NR,NR,NR,NR,NR,NR,NR,NR,No,NR,NR,NR,NR,P0,None,Surgical video clips and task prompts,NR,NR,No,NR,R3,T0,,
S117,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Yes,NR,NR,NR,NR,P1,RAG,Clinical queries plus optionally poisoned RAG context,NR,NR,NR,NR,R3,T0,,
S118,NR,NR,NR,NR,Yes,NR,NR,NR,NR,NR,NR,NR,No,NR,NR,NR,NR,P0,None,MIMIC-CXR and CT-RATE radiology reports,NR,NR,No,NR,R3,T0,,
S119,Yes,Yes,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,Yes,NR,NR,NR,NR,P1,RAG,Sensitive medical contexts with realistic privacy pressure,NR,NR,NR,NR,R3,T0,,
S120,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Yes,NR,NR,NR,NR,P1,None,Live ambulatory encounter audio,NR,NR,NR,NR,R3,T4,,
S121,NR,NR,NR,NR,Yes,NR,NR,NR,NR,NR,NR,NR,No,NR,NR,NR,NR,P0,None,Hospital discharge summaries,NR,NR,NR,NR,R3,T0,,
S122,NR,NR,NR,NR,Yes,NR,NR,NR,NR,NR,NR,NR,No,NR,NR,NR,NR,P0,None,"Clinical guidelines, MIMIC-III, biomedical literature, and medical task datasets",NR,NR,NR,NR,R3,T0,,
S123,Yes,Yes,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,Yes,NR,NR,NR,NR,P1,None,Counterfactual clinical vignettes,NR,NR,NR,NR,R3,T0,,
S124,Yes,NR,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,Yes,NR,NR,NR,NR,P1,None,690 clinically grounded adversarial scenarios,NR,NR,Yes,NR,R3,T0,,
S125,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,No,NR,NR,NR,NR,P0,None,222 patient-posed primary-care questions,NR,NR,Yes,NR,R4,T0,,
S126,NR,Yes,Yes,Yes,Yes,Yes,NR,NR,NR,NR,NR,NR,Yes,Yes,Yes,Yes,NR,P4,Agentic retrieval,Web/tools/benchmark-specific evidence,Yes,Yes,Yes,Output filtering + targeted prompting + few-shot/task-specific agent customization,R3,T0,,
S127,Yes,Yes,Yes,NR,Yes,Yes,Yes,Yes,NR,NR,NR,NR,Yes,No,No,Yes,NR,P4,None,Current EMR structured and free-text patient data,NR,NR,NR,NR,R5,T5,,
S128,Yes,Yes,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,Yes,NR,No,Yes,NR,P4,None,Patient dialogue gathered adaptively before specialist consultation,Yes,Yes,NR,NR,R5,T4,,
S129,Yes,Yes,Yes,NR,Yes,Yes,Yes,Yes,NR,NR,NR,NR,Yes,No,NR,NR,NR,P1,None,"Complete medical history, ancillary tests and imaging reports represented as text",NR,NR,NR,NR,R0,T3,,
S130,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,NR,NR,NR,Yes,Yes,NR,Yes,Yes,P5,None,Retinal imaging outputs + routine clinical metadata + individualized diabetes context,NR,NR,NR,NR,R4,T4,,
S131,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,No,NR,NR,NR,NR,P0,None,Sequentially revealed clinical vignettes,NR,NR,NR,NR,R0,T3,,
S132,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Yes,NR,NR,NR,NR,P1,None,Live clinician-patient encounter audio,NR,NR,NR,NR,R5,T4,,
S133,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Yes,NR,NR,NR,NR,P1,None,Live clinician-patient encounter audio,NR,NR,NR,NR,R5,T4,,
S134,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Yes,NR,NR,NR,NR,P1,None,Ambient clinical encounter audio and transcript,NR,NR,NR,NR,R4,T4,,
S135,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Yes,NR,NR,NR,NR,P1,None,Ambient outpatient encounter audio,NR,NR,NR,NR,R4,T4,,
