Study_ID,Model_Config,Input_Text,Input_2D_Image,Input_3D_Image,Input_Pathology_WSI,Input_EHR,Input_Tabular_Clinical,Input_Labs,Vision_Encoder,LLM_Backbone,Alignment_Module,Fusion_Stage,Fusion_Operator,Fusion_Directionality,Temporal_Fusion,Missing_Modality_Handling,Pretraining_Strategy,Adaptation_Strategy,CPT,SFT,PEFT,ICL,RL_or_RLHF,RAG,Agent_or_Tool_Use,Unnamed_27
S016,AgentRx benchmark configurations,Yes,Yes,No,No,Yes,Yes,Yes,Backbone-dependent VLM encoder,Qwen2.5-VL-7B; InternVL2.5-8B; HuatuoGPT-Vision-7B; LLaVA-Med-v1.5-Mistral-7B,Native VLM + agent protocols,F5,Input/context concatenation; modality-specialized agents; majority vote/debate/coordination,Iterative,Prior-current,Evaluates subsets of available modalities,Backbone-specific,Zero-shot/few-shot agent prompting,No,No,No,Yes,No,No,Yes,
S017,MA-RAG,Yes,No,No,No,No,No,No,NR,Qwen-family backbone in experiments,NR,F0,No multimodal fusion; iterative evidence retrieval,Iterative,None,NR,NR,Multi-round agentic RAG / test-time scaling,No,No,No,No,No,Yes,Yes,
S018,MoMA,Yes,Yes,No,No,Yes,Yes,Yes,CXR-LLAVA specialist,Llama-3 aggregator/predictor; CXR-LLAVA specialist,Textual transformation through specialist agents,F5,Textual transformation; concatenation; hierarchical LLM aggregation,Iterative,Prior-current,Modular agents allow modality subsets,Pretrained specialist LLM/VLMs,Fine-tuning of aggregator/predictor; modular agent fusion,No,Yes,No,No,No,No,Yes,
S019,AgentClinic benchmark,Yes,Yes,No,No,Yes,Yes,Yes,Model-dependent,Claude-3.5; GPT-4/4o; Llama-3; medical LLMs,Tool-mediated / model-dependent multimodal processing,NR,Native multimodal model fusion + adaptive RAG + notebook + interaction,Iterative,Prior-current,Tool availability varies by experiment,Backbone-specific,Zero/one-shot CoT; reflection; adaptive RAG; notebook,No,No,No,Yes,No,Yes,Yes,
S020,Autonomous oncology AI agent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Specialized pathology ViTs; MedSAM/radiology tools,GPT-4,Tool-mediated textual/structured outputs into LLM agent,F5,Tool-mediated multimodal fusion; textual transformation; web/knowledge retrieval,Iterative,Prior-current,Agent selects relevant tools/modalities,Pretrained specialist tools,Agentic prompting/tool orchestration,No,No,No,No,No,Yes,Yes,
S021,MIRA,Yes,No,No,No,Yes,Yes,Yes,Imaging tools accessed through EHR,GPT-4o,Tool-mediated EHR interaction,F5,Agentic retrieval/action over EHR tools and structured/text evidence,Iterative,Prior-current,Agent orders/retrieves data as needed,GPT-4o pretrained,Prompted autonomous agent with tool use,No,No,No,No,No,No,Yes,
S022,RaR across 25 LLMs,Yes,No,No,No,No,No,No,NR,25 general/reasoning/clinical LLMs,Multi-step retrieval pipeline,F0,No multimodal fusion; iterative retrieval and synthesis,Iterative,None,NR,Backbone-specific,Multi-step retrieval and reasoning,No,No,No,No,No,Yes,Yes,
S023,GPT-4 international-guideline RAG + 9 other LLMs,Yes,No,No,No,No,Yes,Yes,NR,GPT-3.5; GPT-4; GPT-4o; Gemini; Llama2/3; Claude + others,RAG prompt augmentation,F0,No multimodal fusion; patient-scenario-conditioned guideline retrieval,Unidirectional,None,NR,Backbone-specific,RAG with local/international guidelines,No,No,No,No,No,Yes,No,
S024,Six LLM reasoning-fidelity evaluation,Yes,No,No,No,No,No,No,NR,DeepSeek-R1; o3-mini; Claude-3.5; Gemini-2.0-Flash; GPT-4o; Llama-3.3-70B,NR,F0,No multimodal fusion,Unidirectional,None,NR,Backbone-specific,Chain-of-thought prompting,No,No,No,Yes,No,No,No,
S025,HalluCXR six-model benchmark,Yes,Yes,No,No,No,No,No,Model-dependent,BiomedCLIP; Gemini 3 Flash; GPT-5.1; InternVL2; LLaVA-NeXT; Qwen2-VL,Model-dependent,NR,Model-dependent VLM fusion; ensemble decision fusion for mitigation,Unidirectional,None,NR,Backbone-specific,Prompting + post-hoc ensemble mitigation,No,No,No,No,No,No,No,
S026,Hybrid LLM + UMLS parser,Yes,No,No,No,Yes,No,No,NR,Open-source LLM (paper-specific),UMLS-assisted structured extraction,F0,NR,Iterative,Longitudinal,NR,Pretrained model,Fine-tuned hybrid longitudinal extraction,No,Yes,NR,NR,No,No,No,
S027,BrainGPT,Yes,No,Yes,No,No,No,No,CVIT-based 3D encoder,LLM backbone (paper-specific),3D vision-language alignment,F3,Cross-attention,Unidirectional,None,NR,3D CT-report paired training,Supervised multimodal report generation,No,Yes,NR,NR,No,No,No,
S028,R2GenGPT,Yes,Yes,No,No,No,No,No,Swin Transformer,Llama2-7B,MLP projection,F2,MLP,Unidirectional,None,NR,Frozen pretrained LLM + vision encoder,Lightweight image-language alignment; frozen LLM,No,NR,Yes,NR,No,No,No,
S029,LLaVA-Med,Yes,Yes,No,No,No,No,No,CLIP ViT,Vicuna / LLaMA-family,MLP projection,F2,MLP,Unidirectional,None,NR,Biomedical image-caption alignment,GPT-4-generated multimodal instruction tuning,Yes,Yes,NR,NR,No,No,No,
S030,MAIRA-2,Yes,Yes,No,No,No,No,No,Radiology vision encoder,MAIRA-2 decoder,Region-grounded visual projector,F2,MLP,Unidirectional,None,NR,CXR-report + refer-and-ground training,Grounded report generation,No,Yes,NR,NR,No,No,No,
S031,MediVLM,Yes,Yes,No,No,No,No,No,Object detector + image encoder,Transformer decoder / model-specific generator,Cross-attention,F3,Cross-attention,Unidirectional,None,NR,Pretrained model,Annotation-free report-generation training,No,Yes,NR,NR,No,No,No,
S032,PMC-VQA / PMC-CLIP + PMC-LLaMA,Yes,Yes,No,No,No,No,No,PMC-CLIP,PMC-LLaMA,Vision-language projection,F2,Linear projection / MLP,Unidirectional,None,NR,PMC image-caption pretraining,Open-ended visual instruction tuning,Yes,Yes,NR,NR,No,No,No,
S033,OmniMedVQA – multiple LVLMs,Yes,Yes,Yes,No,No,No,No,Multiple evaluated encoders,Multiple evaluated LVLMs,Model-specific,NR,NR,NR,None,NR,Varies by model,Comparative zero-/few-shot benchmark,No,NR,NR,Yes,No,No,No,
S034,CIF,Yes,Yes,No,No,No,Yes,No,CLIP ViT-B/16,LLaMA 7B/13B,Structural/causal feature integration,F3,Cross-attention + feature injection,Unidirectional,None,NR,Pretrained model,Causal structural feature integration,No,Yes,NR,NR,No,No,No,
S035,MiniMedGPT,Yes,Yes,No,No,No,No,No,EVA-CLIP ViT32,LLaMA2-7B,Linear projection,F2,Linear projection,Unidirectional,None,NR,Pretrained model,DoRA/LoRA parameter-efficient multimodal fine-tuning,No,Yes,Yes,NR,No,No,No,
S036,FAVP,Yes,Yes,No,No,No,No,No,ViT-G/14,Vicuna-7B,Adaptive visual prompting,F3,Attention weighting,Unidirectional,None,NR,Pretrained model,Adaptive visual prompts + LoRA,No,Yes,Yes,NR,No,No,No,
S037,Falcon Med-VQA,Yes,Yes,No,No,No,No,No,PMC-CLIP,Falcon-11B,Multi-layer query transformer,F3,Q-Former/query tokens,Unidirectional,None,NR,Pretrained model,Staged alignment + VQA fine-tuning with LoRA,Yes,Yes,Yes,NR,No,No,No,
S038,HuatuoGPT-o1,Yes,No,No,No,No,No,No,NR,Qwen2.5-7B/72B; Llama-3.1-8B/70B,NR,F0,NR,NR,NR,NR,Pretrained Qwen2.5 / Llama-3.1 backbones,Supervised fine-tuning; Reasoning optimization,No,Yes,NR,No,Yes,No,No,
S039,GeneGPT,Yes,No,No,No,No,No,No,NR,Codex + NCBI Web APIs,NR,F0,NR,NR,NR,NR,Proprietary pretrained Codex,In-context learning; Tool augmentation,No,No,No,Yes,No,No,Yes,
S040,InstructGPT / GPT-3,Yes,No,No,No,No,No,No,NR,InstructGPT / GPT-3,NR,F0,NR,NR,NR,NR,General-purpose pretrained LLM,In-context learning,No,NR,No,Yes,NR,No,No,
S041,GPT-4V,Yes,Yes,No,No,No,No,No,GPT-4V native visual encoder,GPT-4V,Native multimodal alignment,F3,Other,Unidirectional,None,NR,Pretrained model,Zero-/few-shot prompting,No,NR,NR,Yes,No,No,No,
S042,Claude 3.5 + five MLLMs,Yes,Yes,Yes,No,No,No,No,Model-specific,Multiple proprietary/open MLLMs,Native/model-specific,F3,Other,Unidirectional,None,NR,Pretrained model,Comparative multimodal prompting,No,NR,NR,Yes,No,No,No,
S043,GPT-4V pathology ICL,Yes,Yes,No,No,No,No,No,GPT-4V native visual encoder,GPT-4V,Native multimodal alignment,F3,Other,Unidirectional,None,NR,Pretrained model,In-context labeled pathology examples,No,NR,NR,Yes,No,No,No,
S044,M3FM,Yes,Yes,Yes,No,No,No,No,MultiMedCLIP,MultiMedLM,Medical multimodal alignment,F3,Cross-attention / model-specific,Unidirectional,None,NR,Multidomain multilingual medical pretraining,Zero-shot cross-domain/cross-language inference,Yes,NR,NR,NR,No,No,No,
S045,PathChat,Yes,Yes,No,Yes,No,No,No,UNI ViT,LLaMA-family 13B,Projection-based visual-to-token alignment,F2,Linear projection / MLP,Unidirectional,None,NR,UNI vision pretraining + image-caption alignment,456K multimodal instruction turns,Yes,Yes,NR,NR,No,No,No,
S046,Med-PaLM M,Yes,Yes,Yes,Yes,No,No,No,ViT / modality-specific encoders,PaLM-E-derived multimodal model,Unified multimodal sequence-to-sequence alignment,F3,Other,Unidirectional,None,NR,Pretrained model,Multi-task biomedical instruction/fine-tuning,Yes,Yes,NR,NR,No,No,No,
S047,LLMSeg,Yes,No,Yes,No,No,Yes,No,3D Residual U-Net,Llama2-7B Chat,Bidirectional text-image cross-attention / two-way transformer,F3,Bidirectional cross-attention,Bidirectional,None,Vision-only comparator available,Pretrained model,Cross-attention multimodal contouring with clinical text,No,Yes,NR,NR,No,No,No,
S048,ClinFusion-8B / ClinFusion-32B,Yes,Yes,Yes,No,No,No,No,Compositional/cascaded 2D specialist encoders + native 3D encoder,Qwen3-VL-8B / Qwen3-VL-32B,Cascade Spatial-Aware Locality (CaSL) Fusion,F5,Compositional encoder fusion; cascaded locality-aware fusion; 2D-anchored depth-aware 3D fusion,Iterative,None,NR,Progressive staged medical multimodal training,Instruction tuning + optional agentic tools,No,Yes,NR,Yes,NR,Yes,Yes,
S049,Multimodal autoregressive EHR foundation model,Yes,Yes,No,No,Yes,Yes,Yes,BioMedCLIP ViT for CXR; CSFM/ECG-FM for ECG,GPT-2-style decoder-only EHR backbone,Perceiver-style latent compression + gated cross-attention + temporal mask,F3,Latent compression; gated cross-attention; temporal alignment masking,Unidirectional,Longitudinal,Explicit modality availability masks; no imputation,Autoregressive EHR foundation pretraining + frozen auxiliary encoders,Cross-attention fusion training,No,Yes,No,No,No,No,No,
S050,mpLLM,Yes,No,Yes,No,No,No,No,Frozen 3D vision encoder shared across mpMRI sequences,Phi-3,Prompt-conditioned hierarchical MoE projection,F3,Modality-level MoE; token-level MoE; prompt-conditioned routing; multi-image token fusion,Unidirectional,None,NR,No large paired image-report pretraining; synthetic VQA from expert segmentation,End-to-end task training,No,Yes,No,No,No,No,No,
S051,Phi-3-V 2D-to-3D + TGH-MoE,Yes,No,Yes,No,No,No,No,Adapted 24-layer 2D ViT with mixed 2D/3D attention,Phi-3-V,Text-Guided Hierarchical Mixture-of-Experts (TGH-MoE),F5,2D-to-3D attention adaptation; token-level MoE; task-level hard-routed MoE; image-text concatenation,Unidirectional,None,NR,Inherited Phi-3-V visual-language pretraining,Two-stage task-shared→task-specific training,No,Yes,No,No,No,No,No,
S052,MedPLIB-12B (2 experts),Yes,Yes,No,No,No,No,No,CLIP-ViT-L/336 + SAM-Med2D pixel encoder,LLaMA-7B,2-layer MLP projector + MoE FFN routing + [SEG] T-projector,F5,Feature concatenation; visual prompt injection; token-level MoE; task-specialized VL/grounding experts; [SEG]→pixel decoder,Unidirectional,None,NR,LLaVA-Med alignment pretraining + medical multimodal data,Four-stage alignment/recognition/grounding/MoE training,No,Yes,Yes,No,No,No,No,
S053,Med-2E3,Yes,No,Yes,No,No,No,No,M3D-CLIP (3D) + SigLIP-256 (2D),Phi-3-mini,Text-Guided Inter-Slice (TG-IS) scoring + connector,F3,Dual 3D/2D feature fusion; text-guided inter-slice attention; connector alignment,Unidirectional,None,NR,3D M3D-CLIP + 2D SigLIP pretraining,Pretraining + instruction fine-tuning,No,Yes,No,No,No,No,No,
S054,MedRegion-CT,Yes,No,Yes,No,No,No,No,MedSigLIP,LLaMA-3.1-8B,Region-based SlowFast tokenizer + mask projector + linear multimodal connector,F5,Global/local SlowFast tokenization; hierarchical mask-token fusion; lesion-attribute textualization; token concatenation,Unidirectional,None,Segmentation-noise robustness evaluated,MedSigLIP + pretrained LLaMA,Two-stage connector/mask alignment then LoRA fine-tuning,No,Yes,Yes,No,No,No,No,
S055,MedVL-SAM2,Yes,No,Yes,No,No,No,No,3D CLIP/ViT visual encoder + SAM2 image encoder,InternVL-2.5-4B,MLP-Mixer adaptive token projector + [SEG] semantic projection,F5,3D token compression/alignment; text+visual token fusion; [SEG] hidden-state coupling to SAM2,Unidirectional,None,NR,3D CT image-text pretraining,Multi-stage language + segmentation joint optimization; LoRA on LLM,Yes,Yes,Yes,No,No,No,No,
S056,MLLM-HWSI,Yes,No,No,Yes,No,No,No,Cell-cell ViT + CONCH patch encoder + region ViT + WSI ViT,Qwen2.5-7B-Instruct,Scale-specific hierarchical V-L projectors + Cell–Cell Attention Fusion,F5,Cell/patch/region/WSI hierarchical fusion; contrastive alignment; cross-scale consistency; scale-specific projection,Unidirectional,None,NR,Hierarchical WSI-caption alignment,Feature-space alignment + LoRA instruction tuning,Yes,Yes,Yes,No,No,No,No,
S057,Citrus-V 8B / 33B,Yes,Yes,No,No,No,No,No,Qwen2.5-VL semantic vision encoder + separate SAM2 segmentation encoder,Qwen2.5-VL family,Visual-text aligner + [SEG] two-layer MLP segmentation projector,F5,Joint vision/text token fusion; dual image encoders; [SEG]-mediated reasoning-to-segmentation transfer,Unidirectional,None,NR,Large-scale concept alignment and multimodal medical training,Four-stage concept/comprehension/instruction/segmentation training,Yes,Yes,No,No,No,No,No,
S058,UniReason-Med,Yes,Yes,Yes,No,No,No,No,Qwen2.5-VL-7B native vision encoder,Qwen2.5-VL-7B-Instruct,Shared grounded reasoning interface + region-token injection,F3,Self-generated box/cuboid grounding; region-token injection; interleaved text/visual reasoning tokens,Iterative,None,NR,Qwen2.5-VL pretraining + UniMed-CoT,Grounded CoT SFT + GRPO outcome-level RL,No,Yes,No,No,Yes,No,No,
S059,V2T-CoT (Phi-2 / StableLM),Yes,Yes,No,No,No,No,No,CLIP-ViT-L/14@336 + GLIP region detector,Phi-2 / StableLM,2-layer MLP projector + cross-modality multi-head attention (X-MHA),F3,Phrase grounding; regional/global visual attention; cross-modal multi-head attention; iterative text refinement,Bidirectional,None,NR,Medical image-caption projector pretraining,Instruction fine-tuning on R-Med 39K,Yes,Yes,No,No,No,No,No,
S060,PolyPath / Gemini 1.5 Flash,Yes,No,No,Yes,No,No,No,Native Gemini multimodal stack,Gemini 1.5 Flash,Native long-context multimodal attention,F3,Other,Iterative,None,NR,Proprietary multimodal pretraining,Multi-slide long-context prompting/adaptation,No,NR,NR,Yes,No,No,No,
S061,SkinGPT-4,Yes,Yes,No,No,No,No,No,ViT,LLaMA-2-13B,Vision-to-LLM projection,F2,Linear projection / MLP,Unidirectional,None,NR,Pretrained model,Two-step skin image + clinical-note fine-tuning,Yes,Yes,NR,NR,No,No,No,
S062,MedTVT-R1,Yes,Yes,No,No,No,Yes,Yes,CXR encoder,Reasoning LLM backbone (paper-specific),Modality-perception + contribution-aware weighting,F5,Attention weighting / gated adaptive fusion,Iterative,None,NR,Pretrained model,Chain-of-evidence + GRPO-style reinforcement learning,No,Yes,NR,NR,Yes,No,No,
S063,MedPlan two-stage Medical-Llama3-8B + longitudinal/self-history and cross-patient RAG,Yes,No,No,No,Yes,Yes,NR,NR,Medical-Llama3-8B / GPT-4o variants,Hybrid BM25 + bi-encoder + cross-encoder retrieval,F0,No multimodal fusion; patient-history and similar-patient retrieval over text EHR,Iterative,Longitudinal,Retrieval operates over variable-length historical SOAP notes,Backbone-specific,Two-stage Assessment→Plan instruction tuning + RAG,No,Yes,NR,Yes,No,Yes,No,
S064,EHR-RAGp,Yes,No,No,No,Yes,Yes,Yes,NR,RoFormer-base EHR foundation model,Prototype-guided retrieval alignment and soft chunk weighting,F2,Multi-granular longitudinal chunk retrieval + prototype-guided representation fusion,Unidirectional,Longitudinal,Variable event histories represented as multi-granular chunks,Clinical FM pretraining,Retrieval-augmented representation learning,No,Yes,No,No,No,Yes,No,
S065,Vital Trace with Llama-3.1-8B and other frozen backbones,Yes,No,No,No,Yes,Yes,Yes,NR,Llama-3.1-8B; Mistral; Qwen; Meditron variants,Global Protocol + Individual Protocol persistent state memory,F0,No multimodal fusion; protocol-constrained agentic reasoning over longitudinal patient-state packets,Iterative,Longitudinal,State steward maintains persistent evidence despite variable history length,Frozen pretrained LLMs,Prompted multi-agent reasoning without parameter updates,No,No,No,Yes,No,No,Yes,
S066,Traj-CoA + MedGemma-27B,Yes,No,No,No,Yes,Yes,Yes,NR,MedGemma-27B,Sequential chain-of-agents + shared EHRMem,F1,Structured/unstructured EHR serialization + sequential memory-based agent aggregation,Iterative,Longitudinal,Chunked sequential processing handles long patient histories,MedGemma pretrained,Agentic prompting over longitudinal chunks,No,No,No,Yes,No,No,Yes,
S067,CARE-AD,Yes,No,No,No,Yes,No,No,NR,LLaMA-3.1-8B extractor; Llama-3-70B specialist agents,Chronological profile construction + multi-specialist agent synthesis,F0,Text-only longitudinal evidence synthesis across specialist agents,Iterative,Longitudinal,Chronological profile summarizes variable-length notes,Pretrained Llama models,LoRA extractor fine-tuning + prompted specialist agents,No,Yes,Yes,Yes,No,No,Yes,
S068,TIMER,Yes,No,No,No,Yes,Yes,Yes,NR,NR,Timestamp-aware instruction representation,F0,No multimodal fusion; temporal instruction modeling over longitudinal records,Unidirectional,Longitudinal,Time-indexed instructions preserve temporal boundaries,Medical LLM backbone pretraining,Temporal instruction tuning,No,Yes,NR,Yes,No,No,No,
S069,AI4Doctor / AI4Doc-LLM 32B,Yes,No,No,No,Yes,Yes,Yes,NR,AI4Doc-LLM 32B / 13B,Special Temporal Grid (STG) + hybrid patient-query retrieval,F1,Temporal EMR serialization + patient-specific similar-record/guideline retrieval,Iterative,Longitudinal,STG encodes missingness/temporal structure,Longitudinal EMR continual pretraining,Curriculum instruction tuning + ORPO preference alignment + RAG,Yes,Yes,NR,Yes,Yes,Yes,No,
S070,Generative Deep Patient (GDP),Yes,No,No,No,Yes,Yes,Yes,Structured-EHR CNN-Transformer encoder,LLaMA-based generative decoder,Cross-modal attention,F3,Structured-EHR and unstructured-text cross-attention into generative decoder,Bidirectional,Longitudinal,NR,Structured temporal objectives + generative pretraining,GDP-Base / GDP-Instruct task adaptation,Yes,Yes,NR,No,No,No,No,
S071,EHRWorld family,Yes,No,No,No,Yes,Yes,Yes,NR,EHRWorld 4B/7B/14B family,Patient profile + ordered event-sequence causal integration,F1,Profile/event serialization and causal longitudinal state modeling,Iterative,Longitudinal,Long sequence modeled causally; intervention-conditioned rollout,Large-scale EHR trajectory pretraining,World-model trajectory training,Yes,Yes,NR,Yes,NR,No,No,
S072,DT-GPT,Yes,No,No,No,Yes,Yes,Yes,NR,BioMistral-7B,Time-series-to-language longitudinal conditioning,F1,Serialized longitudinal patient-state fusion into autoregressive LLM,Unidirectional,Longitudinal,Variable-horizon forecasting across clinical domains,BioMistral biomedical pretraining,Task-specific longitudinal fine-tuning,No,Yes,NR,No,No,No,No,
S073,HC-LLM / R2GenGPT-style backbone,Yes,Yes,No,No,No,No,No,Swin Transformer,LLaMA2-7B/13B; Vicuna variants,Historical constraints + tri-consistency multimodal alignment,F5,Current/prior image fusion; prior-report fusion; intra-modality similarity and cross-modal consistency constraints,Bidirectional,Longitudinal,Historical-information availability varies by sample,Vision-language pretraining inherited from backbone,Historical-constrained multimodal fine-tuning,No,Yes,NR,No,No,No,No,
S074,Harrison.Rad 1.5,Yes,Yes,No,No,No,Yes,NR,Radiology-specific contrastively trained vision encoder,Harrison.Rad multimodal LLM,Native interleaved visual-text multimodal interface,F3,Interleaved current images + priors + clinical-context token interaction,Bidirectional,Longitudinal,Supports current-only and prior/context-enriched inputs,Three-stage language/vision/domain pretraining,Radiology VQA/report fine-tuning,Yes,Yes,NR,Yes,NR,No,No,
S075,ALTER,Yes,No,Yes,No,No,No,No,Frozen RadFM-style 3D vision encoder,RadLLaMA-7B,Global Prior Integration + Regional Proxy Differencing + Interval Change Fusion,F5,Global current/prior attention; region-level historical proxy retrieval; change-aware soft prompts,Bidirectional,Longitudinal,History-availability mask supports missing priors,Pretrained 3D vision and language components,Longitudinal change-aware report-generation training,No,Yes,NR,No,No,No,No,
S076,FHIR-RAG-MEDS,Yes,No,No,No,Yes,Yes,Yes,NR,Multiple LLM backbones / NR,SMART-on-FHIR patient-context construction + guideline RAG,F1,Structured patient context textualization + patient-specific evidence retrieval,Unidirectional,None,FHIR resource availability handled by structured context generation,Backbone-specific,RAG with real-time FHIR context and guidelines,No,No,NR,Yes,No,Yes,No,
S077,BiomedRAG,Yes,No,No,No,No,No,No,NR,Biomedical/generative LLM (task-dependent),NR,F0,NR,Unidirectional,None,NR,Pretrained model,Retrieval-augmented inference with learned retrieval scoring,No,NR,NR,Yes,No,Yes,No,
S078,ChatGPT (GPT-4 with image input),Yes,Yes,No,No,No,No,No,Native GPT-4V vision stack,GPT-4V,NR,F3,Other,Unidirectional,None,NR,Proprietary multimodal pretrained model,In-context learning,No,No,No,Yes,No,No,No,
S079,Flamingo-CXR,Yes,Yes,No,No,No,No,No,Flamingo-style visual encoder,Flamingo language model,Gated multimodal cross-attention,F3,Cross-attention,Unidirectional,None,NR,Vision-language pretraining,CXR report-generation adaptation,No,Yes,NR,NR,No,No,No,
S080,Regional encoder + retrieval + LLM refinement,Yes,No,No,Yes,No,No,No,Multi-level regional WSI encoder,LLM refinement module,Anchor attention + retrieval conditioning,F5,Attention weighting + Other,Unidirectional,None,NR,Pretrained model,Similar-case retrieval + multimodal generation + LLM refinement,No,Yes,NR,Yes,No,Yes,No,
S081,CH-ICL,Yes,Yes,No,No,No,No,No,BioMedCLIP / PubMedCLIP,Frozen LLM (paper-specific),Candidate retrieval + exemplar construction,F5,Other,Iterative,None,NR,Pretrained model,Candidate-heuristic retrieval and ICL; no backbone retraining,No,NR,NR,Yes,No,Yes,No,
S082,MedGraphRAG,Yes,No,No,No,No,No,No,NR,LLaMA-family and other LLMs,Triple-linked medical graph + U-Retrieval,F0,No patient-modality fusion; graph retrieval and evidence refinement,Iterative,None,NR,Backbone-specific,Graph-RAG prompting,No,No,No,Yes,No,Yes,Yes,
S083,MRD-RAG,Yes,No,No,No,No,No,No,NR,Qwen2 / GPT-4o-mini / Baichuan variants,Multi-round retrieval + diagnostic memory,F0,Iterative query reformulation; disease-evidence retrieval; diagnostic-state update,Iterative,None,NR,Backbone-specific,Multi-round diagnostic RAG,No,No,No,Yes,No,Yes,Yes,
S084,Local Llama 3.2-11B + RAG,Yes,No,No,No,No,Yes,No,NR,Llama 3.2-11B,Authoritative-reference RAG,F0,Patient-scenario-conditioned guideline/reference retrieval,Unidirectional,None,NR,Llama pretraining,Local RAG inference,No,No,No,No,No,Yes,No,
