Study_ID,Model_Config,Dataset,Task,Split_or_Cohort,Metric,Result,CI_or_SD,Baseline_Type,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38
S013,Path-Llama3.1 / Path-GPT-4o-mini-FT,Internal + external pathology cohorts,Cancer type/stage/prognosis,NR,Task performance,NR,NR,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S014,EHR-RAG,EHRSHOT,4 long-horizon EHR prediction tasks,Test,Average Macro-F1 improvement,10.76,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S015,Full ChatHealthAI,EHRSHOT,Length of stay >=7d,Test,F1,0.491,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S016,Qwen2.5-VL single-agent zero-shot; all modalities,MIMIC-IV/MIMIC-CXR/MIMIC-IV-Note,In-hospital mortality,Test,AUROC,0.756,0.737–0.776,Unimodal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S017,Qwen2.5-VL single-agent zero-shot; all modalities,MIMIC-IV/MIMIC-CXR/MIMIC-IV-Note,Length of stay,Test,AUROC,0.714,NR,Unimodal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S018,MA-RAG,7 medical QA benchmarks,Medical QA,Benchmark,Average accuracy gain,6.8,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S019,MoMA,UW Health trauma cohort,Chest trauma severity,Temporal test,Macro-F1,0.85,Approximate ('near 0.85'),SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S020,Claude 3.5 + Notebook,AgentClinic,Interactive clinical diagnosis,Benchmark,Accuracy,56.1,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S021,Autonomous oncology AI agent,20 realistic multimodal oncology cases,Clinical conclusion correctness,Simulation,Accuracy,91,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S022,MIRA,MIMIC-IV,Medication reconciliation,Retrospective sandbox,Recall,95.2,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S023,RaR across 25 LLMs,104 radiology questions + 65 independent board-exam questions,Radiology QA,Benchmark,Accuracy,75,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S024,GPT-4 + international-guideline RAG,14 clinical scenarios,Medical fitness for surgery,Simulation,Accuracy,96.4,NR,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S025,GPT-4o + CoT,Clinician-validated MedQA subset,Reasoning fidelity (original vs NOTA),Benchmark,Accuracy,48.53,33/68,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S026,Label-aware weighted ensemble,HalluCXR / MIMIC-CXR,Hallucination mitigation,Benchmark,Fabrication reduction,84.8,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S027,Hybrid LLM + UMLS,Breast cancer longitudinal notes,Treatment-pathway extraction,NR,Overall extraction performance,NR,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S028,BrainGPT,3D-BrainCT,3D CT report generation,NR,FORTE F1,0.71,,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S029,R2GenGPT,IU X-Ray + MIMIC-CXR,Radiology report generation,NR,Trainable parameters,5,million,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S030,LLaVA-Med,VQA-RAD / SLAKE / PathVQA,Medical VQA,NR,Relative performance,Outperforms supervised SOTA,,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S031,MAIRA-2,MIMIC-CXR grounded benchmark,Grounded report generation,NR,Grounded generation performance,SOTA,,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S032,MediVLM,Three radiology benchmarks,Report generation,NR,Overall benchmark performance,Competitive,,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S033,PMC-VQA,PMC-VQA / VQA-RAD / SLAKE / ImageCLEF,Open-ended medical VQA,NR,Relative performance,SOTA,,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S034,Multiple LVLMs,OmniMedVQA,Cross-modality Med-VQA evaluation,NR,Cross-modality generalization,Strong stratification,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S035,CIF,Five Med-VQA benchmarks,Medical VQA,NR,Accuracy improvement,Significant across all five,,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S036,MiniMedGPT,VQA-RAD / SLAKE,Medical VQA,NR,Training convergence time,30,minutes on single GPU,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S037,FAVP,VQA-RAD / SLAKE,Generative open-set Med-VQA,NR,Relative performance,SOTA,,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S038,HuatuoGPT-o1,Medical QA benchmarks,Medical reasoning / QA,NR,Accuracy (task-dependent),NR,NR,General and medical LLM baselines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S039,GeneGPT,GeneTuring,Biomedical/genomics QA,NR,Average benchmark score,0.83,NR,LLM / retrieval comparator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S040,InstructGPT / GPT-3,CASI + clinical IE benchmarks,Clinical information extraction,NR,Task-dependent,NR,NR,Supervised / prior NLP baselines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S041,Zeus,MSD-Brain / MSD-Prostate / CHAOS,Zero-shot union segmentation,NR,Relative performance,Superior to baselines,,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S042,GPT-4V zero-shot,NIH CXR subset,Radiologic finding detection,NR,F1,7.3,percent,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S043,Claude 3.5 Sonnet,"169 images / 1,084 questions / 50 patients",Laryngeal cancer clinical QA,NR,Accuracy,79.43,95% CI 77.02–81.84%,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S044,GPT-4V + ICL,CRC100K / MHIST / PatchCamelyon,Cancer pathology image classification,NR,Relative performance,Matches or outperforms specialist supervised networks,,Traditional ML/DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S045,M3FM,Nine CXR/CT datasets,Zero-shot clinical diagnosis,NR,Zero-shot performance,Encouraging across rare disease and multilingual settings,,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S046,PathChat + clinical context,Multi-tissue pathology evaluation,Pathology diagnosis,NR,Diagnostic accuracy,89.5,percent,Multimodal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S047,Med-PaLM M,MultiMedBench,14 biomedical tasks,NR,CXR report preference over original radiologist,40.5,percent of blinded comparisons,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S048,LLMSeg,Three-institution radiotherapy cohorts,Target-volume contouring,NR,Dice / contouring performance,Significant improvement; stable external generalization,,Unimodal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S049,ClinFusion-8B,AMOS-MCQ,3D medical VQA,Benchmark,Accuracy,80.2,NR,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S050,"EHR + Notes (BioMedBERT), latent compression k=8/l=4",MIMIC-IV,ICU mortality,Test,AUROC,0.8751,NR,Unimodal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S051,Unified EHR+CXR+ECG+Notes,MIMIC-IV,ICU mortality,Test,AUROC,0.846,NR,Unimodal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S052,mpLLM full hierarchical MoE,GLI validation,3D mpMRI VQA,Validation,Task mean accuracy,65.5,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S053,Full 2D-to-3D TGH-MoE model,M3D-Data,Closed-ended VQA,Test,Accuracy,81.06,NR,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S054,MedPLIB,Zero-shot pixel-grounding benchmark,Pixel grounding,Test,mDice margin vs strongest small model,19.7,NR,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S055,Med-2E3 dual 3D+2D encoder,CT-RATE ablation subset,Report generation,Test,BLEU,29.96,NR,Unimodal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S056,Med-2E3 dual 3D+2D encoder,M3D-Data ablation subset,Report generation,Test,BLEU,53.21,NR,Unimodal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S057,MedRegion-CT,Structured RadGenome-Chest CT (n=1551),Structured report generation,Internal,GREEN,0.4555,0.4411–0.4697,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S058,MedVL-SAM2,CT-RATE,3D report generation,Test,ROUGE,34.59,NR,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S059,MLLM-HWSI full HCA,PANDA,WSI classification,Test,Balanced accuracy,0.748,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S060,Citrus-V after stages 1–4,MeCoVQA-G+,Text-guided medical segmentation,Test,Average score,67.82,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S061,UniReason-Med 2D+3D training,3D medical VQA benchmark,3D VQA,Test,Mean accuracy,70.2,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S062,V2T-CoT with Vision CoT + Text CoT,VQA-RAD,Closed-ended VQA,Test,Accuracy,84.86,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S063,PolyPath / Gemini 1.5 Flash,Multi-slide pathology cases,Case-level report generation,NR,Diagnostic/report performance,Competitive,,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S064,SkinGPT-4,150 real-life dermatology cases,Diagnosis / analysis / treatment recommendation,NR,Clinician-assessed performance,Clinician-level / validated,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S065,MedTVT-R1,MedTVT-QA tri-modal benchmark,Tri-modal reasoning and diagnosis,NR,Overall diagnostic/reasoning performance,NR,,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S066,Medical-Llama3-8B + longitudinal/cross-patient RAG,Private SOAP-note EHR,Medical plan generation,Test,BLEU,0.30738,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S067,Med-BERT + EHR-RAGp,MIMIC-IV,Long length of stay >=7 days,Test,AUPRC,0.586,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S068,Vital Trace + Llama-3.1-8B,MIMIC-IV,Four longitudinal support/deterioration targets,Test,Macro-AUROC,0.656,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S069,Traj-CoA,Single-institution lung-cancer cohort,Lung cancer risk prediction,Test,AUROC,0.766,±0.019,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S070,CARE-AD,VHA longitudinal clinical notes,Alzheimer's prediction 10 years before diagnosis,Evaluation,Accuracy,0.53,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S071,TIMER,Clinician-curated temporal benchmark,Longitudinal temporal reasoning,Evaluation,Completeness improvement,6.6,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S072,AI4Doc-LLM 32B,301MedQA / EMR scenarios,Expert clinical reasoning quality,Expert evaluation,Overall score,80.52,/100,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S073,GDP-Instruct,MIMIC-IV,Heart-failure prediction,Test,AUROC,0.923,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S074,EHRWorld family,EHRWorld-110K,Long-horizon trajectory prediction,Benchmark,Average score,0.765,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S075,HC-LLM with historical constraints,Longitudinal-MIMIC,Radiology report generation,Test,BLEU-4,0.142,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S076,Harrison.Rad 1.5,ReXGradient,Findings-diagnosis agreement,Test,Score,68.9,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S077,ALTER,RadGenome-ChestCT longitudinal subset,3D CT longitudinal report generation,Test,BLEU-4,23.6,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S078,ChatGPT (GPT-4 with image input),15 dermatology clinical images,Dermatology diagnosis / response quality,NR,Median accuracy rating,3,Median rating (study scale),NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S079,BiomedRAG,ChemProt,Biomedical relation extraction,NR,Micro-F1,88.83,percent,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S080,LORE,Disease–gene literature benchmark,Disease–gene association prediction,NR,Prediction performance,NR,NR,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S081,Flamingo-CXR,Prospective IND1 / MIMIC-CXR,Radiology report generation,NR,AI report better/comparable to clinician report,56.1,percent; ICU,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S082,Regional retrieval + LLM refinement,Gastric-3300,WSI pathology report generation,NR,ROUGE-L,0.69,,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S083,CH-ICL,SLAKE,Medical VQA,NR,Accuracy,88.12,percent; best configuration,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S084,LLaMA3-8B + MedGraphRAG,MedQA,Medical QA,Benchmark,Accuracy,74.2,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S085,MRD-RAG,4 diagnostic datasets,Diagnosis,Benchmark,Average performance improvement,9.4,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S086,Local Llama 3.2-11B + RAG,100 synthetic consultation scenarios,Hallucination,Blinded evaluation,Hallucination rate,0,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S087,BriefContext + Mixtral-7x8B,Controlled medical QA,Medical QA,Benchmark,Accuracy,60.41,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S088,DeepRare,HPO-based rare-disease benchmarks,Rare-disease diagnosis,Benchmark,Recall@1,57.18,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S089,EHR-integrated AI note summarizer,10 emergency physicians; 60 shifts ,EHR note summarization / medical-record review efficiency,Prospective crossover; 30 AI-enabled and 30 control shifts,Mixed-effects ratio for mean medical-record review time per patient,,95% CI 0.72–1.40; P=.97,Human         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S090,GPT-4.1-mini + full MED-COPILOT,MMLU-clinical,Clinical QA,Benchmark,Accuracy,0.971,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S091,MED-VRAG,4 medical QA benchmarks,Medical QA,Benchmark,Average accuracy,78.6,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S092,RRF configuration,PubMedQA,Medical QA,Benchmark,Accuracy,68.9,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S093,SEMA-RAG + DeepSeek-v3.1,5 medical QA benchmarks,Medical QA,Benchmark,Average accuracy,79.71,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S094,AMG-RAG,MedQA,Medical QA,Benchmark,F1,74.1,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S095,Med42-Llama3-8B + MedRAGChecker,PubMedQA,RAG factuality verification,Benchmark,Faithfulness,88.9,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S096,GPT-4 diagnostic assistance,50 physicians; standardized clinical vignettes,Diagnostic reasoning,Randomized clinical trial; 244 completed cases,"Adjusted difference in diagnostic-reasoning score, physician+LLM vs conventional resources",,percentage points; 95% CI −4 to 8; P=.60 ,Human         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S097,KG-Followup,ClinicalInquiryBench / FollowupBench,Clinical follow-up generation,Benchmark,Recall,0.8,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S098,AI Consult V1 / GPT-4o,"1,469 sampled encounters from 16 primary-care clinics in Kenya ",Deployed clinical decision-support safety,Retrospective safety evaluation of active deployment ,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S099,BLUEmed few-shot,Clinical terminology substitution benchmark,Terminology error detection,Benchmark,Accuracy,69.13,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S100,MediGRAF,10 MIMIC-IV patients,Factual patient-specific QA,Expert evaluation,Recall,100,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S101,LiteOdyssey,Private UDN multi-site cohort,Rare-disease diagnosis,Retrospective external,Recall@1,20.4,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S102,Standard medical RAG,200 patient/USMLE-style queries,Retrieved passage relevance,Expert evaluation,Top-16 passage relevance,22,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S103,LLaVA-Med1.5 + MMed-RAG,IU-Xray,Medical VQA,Benchmark,Accuracy,89.54,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S104,ChatDoctor,Medical dialogue evaluation,Medical QA/chat,NR,Response quality,NR,NR,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S105,Gemini 1.5,Real-world gynecologic oncology reports,TNM staging,NR,pT-stage accuracy,0.994,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S106,HCR / Gemini 2.5 Flash,Six segmentation-quality tasks,Clinical acceptability classification,NR,Accuracy,78.12,percent,Traditional ML/DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S107,Refined clinical note-generation workflow,450 clinical notes,Clinical summarization safety,Evaluation,Hallucination rate,1.47,"191/12,999 sentences",Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S108,Med-VCD,8 medical datasets,VQA/report generation/hallucination mitigation,Benchmark,Average factual accuracy improvement,13,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S109,MS-FBI on LLaVA-1.5-med-7B,Med-VQA; VQA-RAD; SLAKE,Confidence calibration,Benchmark,Average ECE,26.22,percent,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S110,CARE,ACI-Bench; MIMIC-BHC; MIMIC-CXR,Summary safety review,Calibration,Review burden reduction factor,5,up to 5× fewer surfaced sentences,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S111,10-LLM ensemble,100 gastroenterology cases × demographic variants,Mental-health referral recommendation,Controlled fairness evaluation,Odds ratio,1.63,95% CI 1.33–1.99,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S112,CAP,MIMIC-IV,ICU mortality prediction,Test,AUROC,0.873,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S113,Prompt-injection attack,216 patient-LLM dialogues,Unsafe recommendation induction,Controlled simulation,Attack success rate,94.4,102/108 attacks,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S114,GPT-o4-mini-high under prolonged visual injection,100 surgical video clips,Surgical decision support,Adversarial test,Accuracy,0.24,±0.03,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S115,MedPriv-Bench NLI leakage judge,MedPriv-Bench,Privacy leakage evaluation,Human alignment,Alignment with human experts,85.9,NR,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S116,DP-teacher knowledge distillation,ICD-9 coding,Privacy-preserving clinical NLP,Benchmark,Recovered non-private performance,63,at ε=4–6,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S117,Me-LLaMA,MIMIC-III,Medical text memorization,Memorization audit,30-token memorization ratio,15.32,percent,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S118,GPT-4.1,MEDEQUALQA (~69K items),Counterfactual reasoning stability,Benchmark,Mean semantic textual similarity,0.8,>0.80,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S119,11 LLMs,690 red-team scenarios,Safety/robustness/fairness,Benchmark,Maximum demographic error amplification,20,reported range 10–20%,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S120,Abridge AI scribe,125 AI-scribe users; 478 covariate-balanced nonusers,EHR documentation efficiency,Retrospective cohort; pre-post + propensity-weighted analysis ,,,percent; 95% CI −12.8 to −3.9; P<.001,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S121,OpenManus_MedAssist_Tool,AgentClinic/MedAgentsBench/HLE,Agent hallucination mitigation,Benchmark,Hallucinations filtered,89.9,"1,516 initial hallucinations reduced to 155 diagnostically relevant hallucinations",Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S122,AI Consult 2.0,"9,347 analyzed patients",14-day treatment failure,Pragmatic cluster RCT,Treatment failure rate,2.2,"102/4,693",Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S123,PreA-only,"2,069-patient RCT",Specialist consultation workflow,RCT,Physician consultation duration,3.14,±2.25 min,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S124,Physicians + Xuanwu-NeuroAid,433 prospective shadow-mode patients,Emergency neurologic diagnosis,Prospective shadow evaluation,Diagnostic accuracy,75.1,percent,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S125,PCP + DeepDR-LLM,Prospective referable-DR subgroup,Ophthalmology referral adherence within 2 weeks,Prospective deployment,Referral follow-through,77.78,percent,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S126,Physician + GPT-4,92-physician randomized trial,Clinical management reasoning,Simulated RCT,Mean score difference vs conventional resources,6.5,95% CI 2.7–10.2,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S127,Ambient AI,66-practitioner pragmatic RCT,Clinician well-being,Randomized trial,Work exhaustion/interpersonal disengagement change,-0.44,95% CI −0.62 to −0.25,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S128,Abridge ambient AI scribe,263 clinicians across 6 systems,Clinician burnout,30-day deployment,Burnout prevalence,38.8,percent,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S129,DAX Copilot,46 clinicians / 17 specialties,Documentation efficiency,Pre-post deployment,Time in notes per appointment,8.2,SD 6.8 min,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S130,MedAgentBrief,384 hospital discharges,Prospective summary safety,Prospective deployment,Hallucination rate,2,2/100 reviewed summaries,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S131,GPT-4 draft replies,162-clinician 5-week pilot,Patient-message drafting,Prospective deployment,Draft utilization rate,20,mean across clinicians,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S132,P&P Care + e-learning,"2,113-participant RCT",Objective health awareness,RCT,Mean score,2.95,±1.22,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S133,LLMs tested alone,10 medical scenarios,Condition identification,Controlled study,Accuracy,94.9,percent average,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S134,LLM-assisted notes,50 ED cases / 900 notes,Discharge documentation,Comparative effectiveness,Median writing time,32,95% CI 29.5–36.0 sec,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S135,LLM-generated hospital courses,100 admissions,Hospital-course editing effort,QI evaluation,Amount edited,31.5,SD 16.6%,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S136,GPT-4 Turbo summaries,100 inpatient encounters,Discharge-summary safety,Blinded review,Unique errors per summary,2.91,SD 2.54,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S137,Default GPT-4o chatbot,"1,297-parent RCT",Immediate HPV vaccination intention,RCT,Cohen d vs no-message control,0.48,95% CI 0.30–0.65,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S138,AI-scribe users,125 users + 478 controls,EHR documentation efficiency,Retrospective controlled deployment,Median EHR time per appointment,20.2,IQR 11.5–31.4 min,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S139,AI Consult V1,"1,469 audited encounters",Active-deployment safety,Retrospective safety audit,Potentially harmful recommendation rate,7.8,95% CI 6.5–9.3,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S140,Physicians + GPT-4,50-physician randomized trial,Diagnostic reasoning,Simulated RCT,Diagnostic reasoning score,76,IQR 66–87%,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S141,AI-enabled shifts,60 ED shifts,Medical-record review efficiency,Prospective crossover workflow,Total record-review time,17.74,SD 10.52 min,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S144,ClinicalT5,Multiple clinical NLP benchmarks,Clinical NLP,NR,Task-dependent,NR,NR,Pretrained LM,T5,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,
S145,GatorTronGPT 5B/20B,Biomedical/clinical NLP benchmarks + physician Turing evaluation,Clinical text generation / NLP,NR,Physician-rated readability,6.57/10,p=0.22,Human text,Human-written clinical text,6.93/10,,,,,,,,,,,,,,,,,,,,,,,,,,,
